[17:21:29] [main/INFO]: infotest
[17:21:29] [main/ERROR]: errortest
[17:27:48] [main/INFO]: Starting...
[17:29:12] [main/INFO]: Starting...
[17:29:12] [main/INFO]: Init...
[17:29:12] [main/INFO]: Init Event...
[17:29:12] [main/INFO]: Init Move...
[17:30:18] [main/INFO]: Starting...
[17:30:18] [main/INFO]: Init...
[17:30:19] [main/INFO]: Init JFrame...
[17:30:19] [main/INFO]: Init Event...
[17:30:19] [main/INFO]: Init Move...
[17:30:19] [main/INFO]: Init done!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:26] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:27] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:28] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:29] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
[17:30:30] [AWT-EventQueue-0/INFO]: Player Died!
